"시군구명","도로구간명","구간시점명","구간종점명","수종명","수목흉고직경","가로내녹지유형명","도로변녹지유형명","기후대구분명","입지명","지역X좌표","지역Y좌표","좌표계코드","시군구별가로수번호"
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136783.612367966","1726462.1732364416",,35854
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136761.1158686","1726318.397248895",,35855
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136783.2118527142","1726448.3064244986",,35856
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136783.8094331173","1726441.0499496819",,35857
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136783.9242961002","1726433.543894548",,35858
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136783.7922418409","1726426.2762425316",,35859
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136783.6601870994","1726419.0085845918",,35860
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136784.0145564508","1726411.7483644374",,35861
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136783.889911599","1726403.9964313873",,35862
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136781.5258062405","1726383.6164062547",,35863
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136779.930762031","1726376.5685166246",,35864
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136778.350535273","1726368.5520913065",,35865
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136777.0283390807","1726359.5708493537",,35866
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136776.4061417875","1726352.5378281446",,35867
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136774.077739753","1726345.7208844267",,35868
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136771.7345145668","1726339.8724700692",,35869
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136768.9048565705","1726334.0166100413",,35870
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136765.8319801833","1726328.1570260576",,35871
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136762.7479858706","1726323.0238411007",,35872
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136756.075034427","1726313.960694863",,35873
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136752.4971906664","1726309.3043324524",,35874
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136748.9119347283","1726305.132237928",,35875
울산광역시 울주군,배내로,배내로,배내로,왕벚나무,10,기타,기타,기타,기타,"1136745.0760519616","1726301.4406913104",,35876
